state_name,district_name,population,confirmed,recovered,deceased,tested
Andaman and Nicobar Islands,Nicobars,36842,0,0,0,0
Andaman and Nicobar Islands,North and Middle Andaman,105597,0,0,0,0
Andaman and Nicobar Islands,South Andaman,238142,0,0,0,0
Andhra Pradesh,Anantapur,4083315,157843,156699,1093,787085
Andhra Pradesh,Chittoor,4170468,246935,244144,1947,780322
Andhra Pradesh,East Godavari,5151549,293836,291610,1290,944746
Andhra Pradesh,Guntur,4889230,178068,176629,1237,833823
Andhra Pradesh,Krishna,4529009,119348,117130,1430,782232
Andhra Pradesh,Kurnool,4046601,124142,123264,853,867361
Andhra Pradesh,Prakasam,3392764,138482,136989,1124,697340
Andhra Pradesh,S.P.S. Nellore,2966082,146388,144919,1053,682964
Andhra Pradesh,Srikakulam,2699471,123109,122136,786,670899
Andhra Pradesh,Visakhapatnam,4288113,157737,156492,1127,744983
Andhra Pradesh,Vizianagaram,2342868,82967,82231,672,531433
Andhra Pradesh,West Godavari,3934782,179077,177680,1117,793098
Andhra Pradesh,Y.S.R. Kadapa,2884524,115623,114904,644,671761
Arunachal Pradesh,Anjaw,21089,1068,1065,3,2845
Arunachal Pradesh,Changlang,147951,3807,3780,22,23861
Arunachal Pradesh,East Kameng,78413,1094,1094,0,7489
Arunachal Pradesh,East Siang,99019,3206,3183,17,21867
Arunachal Pradesh,Kamle,22256,512,512,0,1385
Arunachal Pradesh,Kurung Kumey,89717,511,510,1,4201
Arunachal Pradesh,Lohit,145538,2885,2851,26,14945
Arunachal Pradesh,Longding,60000,752,749,2,10342
Arunachal Pradesh,Lower Dibang Valley,53986,2426,2397,11,12169
Arunachal Pradesh,Lower Siang,80597,738,730,8,7070
Arunachal Pradesh,Lower Subansiri,82839,3036,3015,15,10564
Arunachal Pradesh,Namsai,95950,2124,2102,17,19987
Arunachal Pradesh,Papum Pare,176385,18316,18212,98,41960
Arunachal Pradesh,Shi Yomi,13310,262,261,0,2169
Arunachal Pradesh,Siang,31920,411,408,3,4270
Arunachal Pradesh,Tawang,49950,2577,2533,20,14224
Arunachal Pradesh,Tirap,111997,1109,1102,5,14657
Arunachal Pradesh,Upper Dibang Valley,7948,337,335,2,1910
Arunachal Pradesh,Upper Siang,35289,1016,1015,1,6564
Arunachal Pradesh,Upper Subansiri,83205,1958,1952,6,6217
Arunachal Pradesh,West Kameng,87013,3545,3518,14,28155
Arunachal Pradesh,West Siang,112272,1868,1856,6,13192
Assam,Baksa,953773,0,0,0,0
Assam,Barpeta,1693190,0,0,0,0
Assam,Biswanath,612491,0,0,0,0
Assam,Bongaigaon,732639,0,0,0,0
Assam,Cachar,1736319,0,0,0,0
Assam,Chirang,481818,0,0,0,0
Assam,Darrang,908090,0,0,0,0
Assam,Dhemaji,688077,0,0,0,0
Assam,Dhubri,1948632,0,0,0,0
Assam,Dibrugarh,1327748,0,0,0,301657
Assam,Dima Hasao,213529,0,0,0,0
Assam,Goalpara,1008959,0,0,0,0
Assam,Golaghat,1058674,0,0,0,0
Assam,Hailakandi,659260,0,0,0,0
Assam,Hojai,931218,0,0,0,0
Assam,Jorhat,1091295,0,0,0,0
Assam,Kamrup,1517202,0,0,0,0
Assam,Kamrup Metropolitan,1260419,0,0,0,0
Assam,Karbi Anglong,965280,0,0,0,0
Assam,Karimganj,1217002,0,0,0,0
Assam,Kokrajhar,886999,0,0,0,0
Assam,Lakhimpur,1040644,0,0,0,0
Assam,Majuli,167304,0,0,0,0
Assam,Morigaon,957853,0,0,0,0
Assam,Nagaon,2826006,0,0,0,0
Assam,Nalbari,769919,0,0,0,0
Assam,Sivasagar,1150253,0,0,0,0
Assam,Sonitpur,1925975,0,0,0,0
Assam,South Salmara Mankachar,555114,0,0,0,0
Assam,Tinsukia,1316948,0,0,0,0
Assam,Udalguri,832769,0,0,0,24661
Assam,West Karbi Anglong,300320,0,0,0,0
Bihar,Araria,2806200,14978,14859,116,219221
Bihar,Arwal,700843,7381,7307,74,101624
Bihar,Aurangabad,2511243,20011,19936,75,412007
Bihar,Banka,2029339,7379,7267,112,364776
Bihar,Begusarai,2954367,27212,26754,457,213670
Bihar,Bhagalpur,3032226,25840,25531,309,582113
Bihar,Bhojpur,2720155,10210,10051,159,466438
Bihar,Buxar,1707643,9248,9066,182,461428
Bihar,Darbhanga,3921971,10937,10567,370,448442
Bihar,East Champaran,5082868,19017,18585,430,548132
Bihar,Gaya,4379383,33952,33672,280,872359
Bihar,Gopalganj,2558037,16685,16591,94,562654
Bihar,Jamui,1756078,9418,9312,106,342005
Bihar,Jehanabad,1124176,10783,10674,109,492255
Bihar,Kaimur,1626900,4984,4837,147,442332
Bihar,Katihar,3068149,18145,18051,94,556438
Bihar,Khagaria,1657599,10064,9976,88,148340
Bihar,Kishanganj,1690948,10128,10057,66,294321
Bihar,Lakhisarai,1000717,7776,7674,102,332434
Bihar,Madhepura,1994618,12547,12435,111,455482
Bihar,Madhubani,4476044,18365,18023,339,715168
Bihar,Munger,1359054,15111,14953,158,325212
Bihar,Muzaffarpur,4778610,31398,30777,621,722651
Bihar,Nalanda,2872523,23432,22964,468,591346
Bihar,Nawada,2216653,10353,10174,178,322514
Bihar,Patna,5772804,147007,144651,2334,676238
Bihar,Purnia,3273127,24427,24247,180,568756
Bihar,Rohtas,2962593,13980,13707,271,521553
Bihar,Saharsa,1897102,17616,17482,134,356327
Bihar,Samastipur,4254782,20020,19864,155,614569
Bihar,Saran,3943098,23278,23020,255,761473
Bihar,Sheikhpura,634927,7693,7618,75,142348
Bihar,Sheohar,656916,4404,4368,36,199431
Bihar,Sitamarhi,3419622,9185,9058,127,453227
Bihar,Siwan,3318176,15195,15025,170,536438
Bihar,Supaul,2228397,17222,17093,129,456511
Bihar,Vaishali,3495021,19827,19632,192,275884
Bihar,West Champaran,3935042,20890,20532,358,551778
Chandigarh,Chandigarh,1055450,65351,64495,820,792851
Chhattisgarh,Balod,826165,27278,26880,396,2749
Chhattisgarh,Baloda Bazar,1305343,43085,42611,471,3816
Chhattisgarh,Balrampur,598855,20302,20182,118,21481
Chhattisgarh,Bametara,197035,19963,19726,236,3113
Chhattisgarh,Bastar,1302253,21066,20845,188,4522
Chhattisgarh,Bijapur,229832,8324,8263,55,1239
Chhattisgarh,Bilaspur,1961922,65681,64448,1210,9823
Chhattisgarh,Dakshin Bastar Dantewada,533638,10840,10809,25,1168
Chhattisgarh,Dhamtari,799199,27239,26690,545,1501
Chhattisgarh,Durg,3343079,96880,95028,1798,5020
Chhattisgarh,Gariaband,597653,19701,19506,194,2096
Chhattisgarh,Janjgir Champa,1620632,57636,56766,838,4016
Chhattisgarh,Jashpur,852043,27093,26867,212,2542
Chhattisgarh,Kabeerdham,584667,22771,22503,267,2829
Chhattisgarh,Kondagaon,578326,13139,13036,99,1607
Chhattisgarh,Korba,1206563,54847,54228,580,10034
Chhattisgarh,Koriya,659039,26980,26798,177,2689
Chhattisgarh,Mahasamund,1032275,31365,31000,365,2183
Chhattisgarh,Mungeli,701707,23921,23753,167,2922
Chhattisgarh,Narayanpur,140206,4019,4005,14,804
Chhattisgarh,Raigarh,1493627,62590,61597,978,5084
Chhattisgarh,Raipur,4062160,158035,154852,3139,12704
Chhattisgarh,Rajnandgaon,1537520,56077,55557,515,124947
Chhattisgarh,Sukma,249000,8066,8041,20,1723
Chhattisgarh,Surajpur,660280,29029,28805,224,1830
Chhattisgarh,Surguja,420661,33673,33426,245,103578
Chhattisgarh,Uttar Bastar Kanker,748593,23636,23407,224,2051
Delhi,Delhi,19814000,1439870,1414431,25091,29427753
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,343709,5920,5910,3,44813
Dadra and Nagar Haveli and Daman and Diu,Daman,191173,3543,3516,1,19338
Dadra and Nagar Haveli and Daman and Diu,Diu,52074,1218,1218,0,8259
Goa,North Goa,817761,0,0,0,0
Goa,South Goa,639962,0,0,0,0
Gujarat,Ahmedabad,7208200,238334,234889,3411,2556492
Gujarat,Amreli,1513614,10810,10708,102,212265
Gujarat,Anand,2090276,9637,9581,49,171851
Gujarat,Aravalli,1051746,5186,5108,78,122182
Gujarat,Banaskantha,3116045,13631,13469,162,218527
Gujarat,Bharuch,1550822,11426,11308,118,156057
Gujarat,Bhavnagar,2877961,21447,21143,301,392834
Gujarat,Botad,656005,2218,2176,42,98559
Gujarat,Chhota Udaipur,1071831,3395,3357,38,93838
Gujarat,Dahod,2126558,9955,9917,38,218259
Gujarat,Dang,226769,866,848,18,31921
Gujarat,Devbhumi Dwarka,752484,4175,4093,82,80424
Gujarat,Gandhinagar,1387478,20754,20549,205,292598
