state_name,date,confirmed,recovered,deceased,tested
Andaman and Nicobar Islands,2020-03-26,1,0,0,0
Andaman and Nicobar Islands,2020-03-27,6,0,0,0
Andaman and Nicobar Islands,2020-03-28,9,0,0,0
Andaman and Nicobar Islands,2020-03-29,9,0,0,0
Andaman and Nicobar Islands,2020-03-30,10,0,0,0
Andaman and Nicobar Islands,2020-03-31,10,0,0,0
Andaman and Nicobar Islands,2020-04-01,10,0,0,0
Andaman and Nicobar Islands,2020-04-02,10,0,0,0
Andaman and Nicobar Islands,2020-04-03,10,0,0,0
Andaman and Nicobar Islands,2020-04-04,10,0,0,0
Andaman and Nicobar Islands,2020-04-05,10,0,0,0
Andaman and Nicobar Islands,2020-04-06,10,0,0,0
Andaman and Nicobar Islands,2020-04-07,10,0,0,0
Andaman and Nicobar Islands,2020-04-08,11,0,0,0
Andaman and Nicobar Islands,2020-04-09,11,10,0,0
Andaman and Nicobar Islands,2020-04-10,11,10,0,0
Andaman and Nicobar Islands,2020-04-11,11,10,0,0
Andaman and Nicobar Islands,2020-04-12,11,10,0,0
Andaman and Nicobar Islands,2020-04-13,11,10,0,0
Andaman and Nicobar Islands,2020-04-14,11,10,0,0
Andaman and Nicobar Islands,2020-04-15,11,10,0,0
Andaman and Nicobar Islands,2020-04-16,11,11,0,0
Andaman and Nicobar Islands,2020-04-17,12,11,0,1403
Andaman and Nicobar Islands,2020-04-18,14,11,0,1403
Andaman and Nicobar Islands,2020-04-19,15,11,0,1403
Andaman and Nicobar Islands,2020-04-20,16,11,0,1403
Andaman and Nicobar Islands,2020-04-21,17,11,0,1403
Andaman and Nicobar Islands,2020-04-22,18,11,0,1403
Andaman and Nicobar Islands,2020-04-23,22,11,0,1403
Andaman and Nicobar Islands,2020-04-24,29,11,0,2679
Andaman and Nicobar Islands,2020-04-25,33,11,0,2679
Andaman and Nicobar Islands,2020-04-26,33,11,0,2679
Andaman and Nicobar Islands,2020-04-27,33,11,0,2848
Andaman and Nicobar Islands,2020-04-28,33,15,0,2848
Andaman and Nicobar Islands,2020-04-29,33,15,0,2848
Andaman and Nicobar Islands,2020-04-30,33,16,0,2848
Andaman and Nicobar Islands,2020-05-01,33,16,0,3754
Andaman and Nicobar Islands,2020-05-02,33,26,0,3754
Andaman and Nicobar Islands,2020-05-03,33,32,0,3754
Andaman and Nicobar Islands,2020-05-04,33,32,0,3754
Andaman and Nicobar Islands,2020-05-05,33,32,0,3754
Andaman and Nicobar Islands,2020-05-06,33,32,0,3754
Andaman and Nicobar Islands,2020-05-07,33,33,0,3754
Andaman and Nicobar Islands,2020-05-08,33,33,0,3754
Andaman and Nicobar Islands,2020-05-09,33,33,0,3754
Andaman and Nicobar Islands,2020-05-10,33,33,0,3754
Andaman and Nicobar Islands,2020-05-11,33,33,0,3754
Andaman and Nicobar Islands,2020-05-12,33,33,0,3754
Andaman and Nicobar Islands,2020-05-13,33,33,0,3754
Andaman and Nicobar Islands,2020-05-14,33,33,0,3754
Andaman and Nicobar Islands,2020-05-15,33,33,0,3754
Andaman and Nicobar Islands,2020-05-16,33,33,0,6677
Andaman and Nicobar Islands,2020-05-17,33,33,0,6677
Andaman and Nicobar Islands,2020-05-18,33,33,0,6677
Andaman and Nicobar Islands,2020-05-19,33,33,0,6965
Andaman and Nicobar Islands,2020-05-20,33,33,0,7082
Andaman and Nicobar Islands,2020-05-21,33,33,0,7167
Andaman and Nicobar Islands,2020-05-22,33,33,0,7263
Andaman and Nicobar Islands,2020-05-23,33,33,0,7327
Andaman and Nicobar Islands,2020-05-24,33,33,0,7327
Andaman and Nicobar Islands,2020-05-25,33,33,0,7363
Andaman and Nicobar Islands,2020-05-26,33,33,0,7448
Andaman and Nicobar Islands,2020-05-27,33,33,0,7499
Andaman and Nicobar Islands,2020-05-28,33,33,0,7519
Andaman and Nicobar Islands,2020-05-29,33,33,0,7567
Andaman and Nicobar Islands,2020-05-30,33,33,0,7567
Andaman and Nicobar Islands,2020-05-31,33,33,0,7706
Andaman and Nicobar Islands,2020-06-01,33,33,0,7805
Andaman and Nicobar Islands,2020-06-02,33,33,0,8086
Andaman and Nicobar Islands,2020-06-03,33,33,0,8295
Andaman and Nicobar Islands,2020-06-04,33,33,0,8413
Andaman and Nicobar Islands,2020-06-05,33,33,0,8694
Andaman and Nicobar Islands,2020-06-06,33,33,0,9037
Andaman and Nicobar Islands,2020-06-07,33,33,0,9242
Andaman and Nicobar Islands,2020-06-08,33,33,0,9341
Andaman and Nicobar Islands,2020-06-09,34,33,0,9859
Andaman and Nicobar Islands,2020-06-10,35,33,0,10010
Andaman and Nicobar Islands,2020-06-11,38,33,0,10226
Andaman and Nicobar Islands,2020-06-12,38,33,0,10697
Andaman and Nicobar Islands,2020-06-13,38,33,0,10955
Andaman and Nicobar Islands,2020-06-14,40,33,0,11356
Andaman and Nicobar Islands,2020-06-15,41,33,0,11518
Andaman and Nicobar Islands,2020-06-16,44,33,0,11809
Andaman and Nicobar Islands,2020-06-17,44,33,0,12239
Andaman and Nicobar Islands,2020-06-18,45,35,0,12622
Andaman and Nicobar Islands,2020-06-19,47,35,0,12930
Andaman and Nicobar Islands,2020-06-20,47,35,0,13320
Andaman and Nicobar Islands,2020-06-21,48,37,0,13434
Andaman and Nicobar Islands,2020-06-22,48,37,0,13511
Andaman and Nicobar Islands,2020-06-23,50,40,0,13723
Andaman and Nicobar Islands,2020-06-24,56,41,0,13994
Andaman and Nicobar Islands,2020-06-25,58,41,0,14277
Andaman and Nicobar Islands,2020-06-26,72,43,0,14583
Andaman and Nicobar Islands,2020-06-27,72,43,0,14851
Andaman and Nicobar Islands,2020-06-28,83,45,0,15094
Andaman and Nicobar Islands,2020-06-29,90,45,0,15410
Andaman and Nicobar Islands,2020-06-30,97,45,0,15709
Andaman and Nicobar Islands,2020-07-01,100,50,0,15982
Andaman and Nicobar Islands,2020-07-02,109,51,0,16278
Andaman and Nicobar Islands,2020-07-03,116,54,0,16626
Andaman and Nicobar Islands,2020-07-04,119,66,0,16832
Andaman and Nicobar Islands,2020-07-05,125,72,0,16909
Andaman and Nicobar Islands,2020-07-06,141,74,0,17095
Andaman and Nicobar Islands,2020-07-07,147,74,0,17381
Andaman and Nicobar Islands,2020-07-08,149,74,0,17643
Andaman and Nicobar Islands,2020-07-09,156,83,0,17852
Andaman and Nicobar Islands,2020-07-10,156,92,0,18046
Andaman and Nicobar Islands,2020-07-11,156,92,0,18315
Andaman and Nicobar Islands,2020-07-12,163,100,0,18447
Andaman and Nicobar Islands,2020-07-13,166,109,0,18609
Andaman and Nicobar Islands,2020-07-14,171,129,0,18884
Andaman and Nicobar Islands,2020-07-15,176,130,0,19061
Andaman and Nicobar Islands,2020-07-16,180,133,0,19227
Andaman and Nicobar Islands,2020-07-17,184,142,0,19421
Andaman and Nicobar Islands,2020-07-18,188,145,0,19671
Andaman and Nicobar Islands,2020-07-19,203,145,0,19904
Andaman and Nicobar Islands,2020-07-20,207,151,0,20301
Andaman and Nicobar Islands,2020-07-21,212,159,0,20642
Andaman and Nicobar Islands,2020-07-22,221,163,0,21043
Andaman and Nicobar Islands,2020-07-23,240,170,0,21310
Andaman and Nicobar Islands,2020-07-24,259,174,0,21743
Andaman and Nicobar Islands,2020-07-25,290,176,0,21965
Andaman and Nicobar Islands,2020-07-26,318,180,0,22049
Andaman and Nicobar Islands,2020-07-27,338,192,1,22548
Andaman and Nicobar Islands,2020-07-28,363,196,1,22925
Andaman and Nicobar Islands,2020-07-29,428,201,2,23217
Andaman and Nicobar Islands,2020-07-30,470,201,3,23615
Andaman and Nicobar Islands,2020-07-31,548,214,5,24038
Andaman and Nicobar Islands,2020-08-01,636,226,7,24308
Andaman and Nicobar Islands,2020-08-02,734,242,8,24580
Andaman and Nicobar Islands,2020-08-03,830,263,10,25034
Andaman and Nicobar Islands,2020-08-04,928,277,12,25492
Andaman and Nicobar Islands,2020-08-05,1027,326,14,25826
Andaman and Nicobar Islands,2020-08-06,1123,355,16,26516
Andaman and Nicobar Islands,2020-08-07,1222,425,19,26915
Andaman and Nicobar Islands,2020-08-08,1351,500,20,27073
Andaman and Nicobar Islands,2020-08-09,1490,648,20,27103
Andaman and Nicobar Islands,2020-08-10,1625,709,20,27346
Andaman and Nicobar Islands,2020-08-11,1764,749,21,27455
Andaman and Nicobar Islands,2020-08-12,1900,829,21,27744
Andaman and Nicobar Islands,2020-08-13,2037,924,22,27973
Andaman and Nicobar Islands,2020-08-14,2186,1032,24,28129
Andaman and Nicobar Islands,2020-08-15,2306,1128,24,28209
Andaman and Nicobar Islands,2020-08-16,2399,1226,28,28229
Andaman and Nicobar Islands,2020-08-17,2445,1325,29,28672
Andaman and Nicobar Islands,2020-08-18,2529,1421,30,28937
Andaman and Nicobar Islands,2020-08-19,2604,1529,30,29303
Andaman and Nicobar Islands,2020-08-20,2680,1638,31,29487
Andaman and Nicobar Islands,2020-08-21,2747,1744,32,29573
Andaman and Nicobar Islands,2020-08-22,2808,1853,32,29888
Andaman and Nicobar Islands,2020-08-23,2860,1963,33,30278
Andaman and Nicobar Islands,2020-08-24,2904,2092,35,30513
Andaman and Nicobar Islands,2020-08-25,2945,2231,37,31082
Andaman and Nicobar Islands,2020-08-26,2985,2309,41,31646
Andaman and Nicobar Islands,2020-08-27,3018,2374,42,31830
Andaman and Nicobar Islands,2020-08-28,3050,2444,42,32100
Andaman and Nicobar Islands,2020-08-29,3081,2519,44,32407
Andaman and Nicobar Islands,2020-08-30,3104,2586,45,32674
Andaman and Nicobar Islands,2020-08-31,3132,2647,46,33485
Andaman and Nicobar Islands,2020-09-01,3160,2714,46,35104
Andaman and Nicobar Islands,2020-09-02,3186,2758,47,36136
Andaman and Nicobar Islands,2020-09-03,3223,2823,48,37075
Andaman and Nicobar Islands,2020-09-04,3257,2863,49,37825
Andaman and Nicobar Islands,2020-09-05,3292,2904,50,38574
Andaman and Nicobar Islands,2020-09-06,3332,2951,50,39205
Andaman and Nicobar Islands,2020-09-07,3359,2997,50,39995
Andaman and Nicobar Islands,2020-09-08,3392,3035,50,41039
Andaman and Nicobar Islands,2020-09-09,3426,3078,51,41776
Andaman and Nicobar Islands,2020-09-10,3465,3121,51,42792
Andaman and Nicobar Islands,2020-09-11,3494,3157,51,43680
Andaman and Nicobar Islands,2020-09-12,3521,3202,51,44570
Andaman and Nicobar Islands,2020-09-13,3546,3243,51,45279
Andaman and Nicobar Islands,2020-09-14,3557,3278,52,45987
Andaman and Nicobar Islands,2020-09-15,3574,3318,52,46823
Andaman and Nicobar Islands,2020-09-16,3593,3345,52,47794
Andaman and Nicobar Islands,2020-09-17,3604,3378,52,48861
Andaman and Nicobar Islands,2020-09-18,3631,3414,52,50035
Andaman and Nicobar Islands,2020-09-19,3644,3436,52,50681
Andaman and Nicobar Islands,2020-09-20,3651,3451,52,51262
Andaman and Nicobar Islands,2020-09-21,3673,3469,52,52220
Andaman and Nicobar Islands,2020-09-22,3691,3479,52,52845
Andaman and Nicobar Islands,2020-09-23,3712,3494,52,53591
Andaman and Nicobar Islands,2020-09-24,3744,3503,52,52992
Andaman and Nicobar Islands,2020-09-25,3759,3528,52,55169
Andaman and Nicobar Islands,2020-09-26,3774,3551,52,56059
Andaman and Nicobar Islands,2020-09-27,3794,3553,53,56661
Andaman and Nicobar Islands,2020-09-28,3803,3582,53,57343
Andaman and Nicobar Islands,2020-09-29,3821,3587,53,58135
Andaman and Nicobar Islands,2020-09-30,3835,3608,53,58763
Andaman and Nicobar Islands,2020-10-01,3848,3623,53,59676
Andaman and Nicobar Islands,2020-10-02,3858,3631,53,60437
Andaman and Nicobar Islands,2020-10-03,3868,3642,53,61231
Andaman and Nicobar Islands,2020-10-04,3884,3649,53,62103
Andaman and Nicobar Islands,2020-10-05,3899,3659,54,63009
Andaman and Nicobar Islands,2020-10-06,3912,3678,54,63790
Andaman and Nicobar Islands,2020-10-07,3935,3696,54,65111
Andaman and Nicobar Islands,2020-10-08,3952,3707,55,66244
Andaman and Nicobar Islands,2020-10-09,3976,3724,55,67332
Andaman and Nicobar Islands,2020-10-10,3992,3744,55,68464
Andaman and Nicobar Islands,2020-10-11,4005,3764,55,69146
Andaman and Nicobar Islands,2020-10-12,4023,3770,55,69932
Andaman and Nicobar Islands,2020-10-13,4036,3782,55,70780
Andaman and Nicobar Islands,2020-10-14,4046,3796,55,71624
Andaman and Nicobar Islands,2020-10-15,4062,3817,55,72525
Andaman and Nicobar Islands,2020-10-16,4072,3831,56,73363
Andaman and Nicobar Islands,2020-10-17,4083,3848,56,74277
Andaman and Nicobar Islands,2020-10-18,4108,3868,56,75030
Andaman and Nicobar Islands,2020-10-19,4126,3892,56,75977
Andaman and Nicobar Islands,2020-10-20,4141,3902,56,77200
Andaman and Nicobar Islands,2020-10-21,4168,3913,56,78303
Andaman and Nicobar Islands,2020-10-22,4184,3937,57,79301
Andaman and Nicobar Islands,2020-10-23,4207,3945,58,80768
Andaman and Nicobar Islands,2020-10-24,4225,3968,58,81880
Andaman and Nicobar Islands,2020-10-25,4245,3983,58,82626
Andaman and Nicobar Islands,2020-10-26,4253,3997,58,83115
Andaman and Nicobar Islands,2020-10-27,4274,4019,58,84308
Andaman and Nicobar Islands,2020-10-28,4289,4039,58,85378
Andaman and Nicobar Islands,2020-10-29,4305,4054,59,86715
Andaman and Nicobar Islands,2020-10-30,4317,4076,59,87789
Andaman and Nicobar Islands,2020-10-31,4332,4100,59,88453
Andaman and Nicobar Islands,2020-11-01,4340,4112,60,89559
Andaman and Nicobar Islands,2020-11-02,4352,4132,60,90901
Andaman and Nicobar Islands,2020-11-03,4372,4153,60,92249
Andaman and Nicobar Islands,2020-11-04,4389,4163,60,93406
Andaman and Nicobar Islands,2020-11-05,4403,4175,60,94639
Andaman and Nicobar Islands,2020-11-06,4420,4194,60,96214
Andaman and Nicobar Islands,2020-11-07,4441,4206,60,97603
Andaman and Nicobar Islands,2020-11-08,4450,4221,60,98812
Andaman and Nicobar Islands,2020-11-09,4463,4239,60,100025
Andaman and Nicobar Islands,2020-11-10,4477,4255,60,101226
Andaman and Nicobar Islands,2020-11-11,4494,4267,60,102433
Andaman and Nicobar Islands,2020-11-12,4507,4282,61,103599
Andaman and Nicobar Islands,2020-11-13,4518,4304,61,104785
Andaman and Nicobar Islands,2020-11-14,4527,4315,61,105699
Andaman and Nicobar Islands,2020-11-15,4536,4330,61,106734
Andaman and Nicobar Islands,2020-11-16,4557,4346,61,108080
Andaman and Nicobar Islands,2020-11-17,4574,4363,61,109646
Andaman and Nicobar Islands,2020-11-18,4593,4378,61,111166
Andaman and Nicobar Islands,2020-11-19,4604,4398,61,112792
Andaman and Nicobar Islands,2020-11-20,4617,4408,61,114392
Andaman and Nicobar Islands,2020-11-21,4631,4428,61,115968
Andaman and Nicobar Islands,2020-11-22,4641,4440,61,117093
Andaman and Nicobar Islands,2020-11-23,4656,4453,61,118654
Andaman and Nicobar Islands,2020-11-24,4667,4464,61,120324
Andaman and Nicobar Islands,2020-11-25,4677,4479,61,121931
Andaman and Nicobar Islands,2020-11-26,4682,4491,61,123165
Andaman and Nicobar Islands,2020-11-27,4689,4508,61,124832
Andaman and Nicobar Islands,2020-11-28,4698,4518,61,126331
Andaman and Nicobar Islands,2020-11-29,4704,4537,61,127912
Andaman and Nicobar Islands,2020-11-30,4710,4550,61,129389
Andaman and Nicobar Islands,2020-12-01,4718,4566,61,131080
Andaman and Nicobar Islands,2020-12-02,4723,4583,61,132784
Andaman and Nicobar Islands,2020-12-03,4729,4597,61,134355
Andaman and Nicobar Islands,2020-12-04,4742,4611,61,135952
Andaman and Nicobar Islands,2020-12-05,4747,4616,61,137648
Andaman and Nicobar Islands,2020-12-06,4758,4624,61,139326
Andaman and Nicobar Islands,2020-12-07,4773,4631,61,140961
Andaman and Nicobar Islands,2020-12-08,4778,4647,61,142667
Andaman and Nicobar Islands,2020-12-09,4783,4647,61,144401
Andaman and Nicobar Islands,2020-12-10,4791,4652,61,146143
Andaman and Nicobar Islands,2020-12-11,4798,4659,61,147806
Andaman and Nicobar Islands,2020-12-12,4805,4665,61,149926
Andaman and Nicobar Islands,2020-12-13,4818,4673,61,152004
Andaman and Nicobar Islands,2020-12-14,4834,4681,61,153685
Andaman and Nicobar Islands,2020-12-15,4842,4688,61,155454
Andaman and Nicobar Islands,2020-12-16,4850,4698,61,157242
Andaman and Nicobar Islands,2020-12-17,4860,4707,61,159027
Andaman and Nicobar Islands,2020-12-18,4869,4712,61,160856
Andaman and Nicobar Islands,2020-12-19,4875,4719,61,162821
